2011-03-04 12:57:28 Notice: Notice (8): Undefined index: fullname in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 30]
2011-03-04 12:57:53 Notice: Notice (8): Undefined index: fullname in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 29]
2011-03-04 12:57:53 Notice: Notice (8): Undefined index: fullname in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 30]
2011-03-04 23:02:58 Notice: Notice (8): Undefined variable: complete_project in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 6]
2011-03-04 23:02:58 Notice: Notice (8): Undefined variable: complete_project in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 7]
2011-03-04 23:02:58 Notice: Notice (8): Undefined variable: complete_project in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 8]
2011-03-04 23:02:58 Notice: Notice (8): Undefined variable: complete_project in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 9]
2011-03-04 23:02:58 Notice: Notice (8): Undefined variable: complete_project in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 10]
2011-03-04 23:02:58 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 12]
2011-03-04 23:03:50 Notice: Notice (8): Undefined variable: complete_projects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 6]
2011-03-04 23:03:50 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 14]
2011-03-04 23:06:52 Notice: Notice (8): Undefined variable: complete_projects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 6]
2011-03-04 23:06:52 Notice: Notice (8): Undefined variable: countPM in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 20]
2011-03-04 23:06:52 Notice: Notice (8): Undefined variable: countOPM in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 21]
2011-03-04 23:06:52 Notice: Notice (8): Undefined variable: complete_projects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 28]
2011-03-04 23:07:07 Notice: Notice (8): Undefined variable: complete_projects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 6]
2011-03-04 23:07:07 Notice: Notice (8): Undefined variable: countPM in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 20]
2011-03-04 23:07:07 Notice: Notice (8): Undefined variable: countOPM in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 21]
2011-03-04 23:07:07 Notice: Notice (8): Undefined variable: complete_projects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 28]
2011-03-04 23:14:43 Notice: Notice (8): Undefined variable: complete_projects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 7]
2011-03-04 23:14:43 Notice: Notice (8): Undefined variable: incomplete_projects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 16]
2011-03-04 23:14:43 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 24]
2011-03-04 23:19:23 Notice: Notice (8): Undefined variable: incomplete_projects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 7]
2011-03-04 23:19:23 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 13]
2011-03-04 23:25:44 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 13]
2011-03-04 23:28:47 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 14]
2011-03-04 23:34:47 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 12]
2011-03-04 23:36:02 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 12]
2011-03-04 23:41:38 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 14]
2011-03-04 23:42:18 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 14]
2011-03-04 23:42:37 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 14]
2011-03-04 23:43:05 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 17]
2011-03-04 23:43:17 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 17]
2011-03-04 23:44:49 Notice: Notice (8): Array to string conversion in [/Users/robsa/Sites/Dropbox/htdocs/PMT/cake/libs/model/datasources/dbo_source.php, line 2204]
2011-03-04 23:44:49 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 17]
2011-03-04 23:46:28 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 17]
2011-03-04 23:46:50 Notice: Notice (8): Array to string conversion in [/Users/robsa/Sites/Dropbox/htdocs/PMT/cake/libs/model/datasources/dbo_source.php, line 2204]
2011-03-04 23:46:50 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 17]
2011-03-04 23:47:38 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 17]
2011-03-04 23:50:47 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 17]
2011-03-04 23:52:40 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 16]
2011-03-04 23:53:16 Notice: Notice (8): Undefined index: ProjectManager in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 9]
2011-03-04 23:53:16 Notice: Notice (8): Undefined index: OffshoreProjectManager in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 10]
2011-03-04 23:53:16 Notice: Notice (8): Undefined index: QaResource in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 11]
2011-03-04 23:53:16 Notice: Notice (8): Undefined index: Developer in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 12]
2011-03-04 23:53:16 Notice: Notice (8): Undefined index: Producer in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 13]
2011-03-04 23:53:16 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 16]
2011-03-04 23:53:32 Notice: Notice (8): Undefined index: ProjectManager in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 10]
2011-03-04 23:53:32 Notice: Notice (8): Undefined index: OffshoreProjectManager in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 11]
2011-03-04 23:53:32 Notice: Notice (8): Undefined index: QaResource in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 12]
2011-03-04 23:53:32 Notice: Notice (8): Undefined index: Developer in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 13]
2011-03-04 23:53:32 Notice: Notice (8): Undefined index: Producer in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 14]
2011-03-04 23:53:32 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 17]
2011-03-04 23:54:12 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 8]
2011-03-04 23:55:00 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 8]
2011-03-04 23:55:17 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 8]
2011-03-04 23:56:05 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 8]
2011-03-04 23:56:27 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 8]
2011-03-04 23:56:28 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 8]
2011-03-04 23:57:03 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 8]
2011-03-04 23:57:19 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 8]
2011-03-05 00:00:30 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 8]
2011-03-05 00:00:42 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 8]
2011-03-05 00:01:09 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 8]
2011-03-05 00:01:29 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 8]
2011-03-05 00:01:54 Notice: Notice (8): Undefined property: ThemeView::$Paginator in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/elements/full_report_table.ctp, line 8]
2011-03-05 02:43:17 Notice: Notice (8): Undefined index: client in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/project_managers/view.ctp, line 80]
2011-03-05 02:43:54 Notice: Notice (8): Undefined index: client in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/project_managers/view.ctp, line 79]
2011-03-05 02:44:13 Notice: Notice (8): Undefined index: Client in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/project_managers/view.ctp, line 79]
2011-03-05 02:44:18 Notice: Notice (8): Undefined index: Client in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/project_managers/view.ctp, line 79]
2011-03-05 02:44:21 Notice: Notice (8): Undefined index: Client in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/project_managers/view.ctp, line 79]
2011-03-05 02:44:25 Notice: Notice (8): Undefined index: Client in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/project_managers/view.ctp, line 79]
2011-03-05 02:44:49 Notice: Notice (8): Undefined index: Client in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/project_managers/view.ctp, line 80]
2011-03-05 02:45:24 Notice: Notice (8): Undefined index: Client in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/project_managers/view.ctp, line 80]
2011-03-05 02:59:50 Notice: Notice (8): Undefined index: client in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/offshore_project_managers/view.ctp, line 80]
2011-03-05 12:54:43 Notice: Notice (8): Undefined variable: offshoreProjects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/index.ctp, line 6]
2011-03-05 12:55:31 Notice: Notice (8): Undefined variable: offshoreProjects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/index.ctp, line 6]
2011-03-05 13:10:11 Notice: Notice (8): Undefined variable: standardMedia in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/index.ctp, line 11]
2011-03-05 13:10:11 Notice: Notice (8): Undefined variable: standardMedia in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/index.ctp, line 12]
2011-03-05 13:11:22 Notice: Notice (8): Undefined variable: standardMedia in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/index.ctp, line 11]
2011-03-05 13:11:22 Notice: Notice (8): Undefined variable: richMedia in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/index.ctp, line 12]
2011-03-05 13:16:24 Notice: Notice (8): Undefined variable: projects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/full_report.ctp, line 5]
2011-03-05 13:23:21 Notice: Notice (8): Undefined variable: meridian in [/Users/robsa/Sites/Dropbox/htdocs/PMT/cake/libs/view/helpers/form.php, line 1749]
2011-03-05 17:08:35 Notice: Notice (8): Undefined index: Project in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 240]
2011-03-05 17:08:35 Notice: Notice (8): Undefined variable: finalData in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 244]
2011-03-05 17:12:47 Notice: Notice (8): Undefined index: Project in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 245]
2011-03-05 17:12:47 Notice: Notice (8): Undefined index: complete in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 250]
2011-03-05 17:12:47 Notice: Notice (8): Undefined index: offshore in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 255]
2011-03-05 17:12:47 Notice: Notice (8): Undefined index: Client in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 260]
2011-03-05 19:29:23 Notice: Notice (8): Undefined index: Project in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 245]
2011-03-05 19:29:23 Notice: Notice (8): Undefined index: complete in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 250]
2011-03-05 19:29:23 Notice: Notice (8): Undefined index: offshore in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 255]
2011-03-05 19:29:23 Notice: Notice (8): Undefined index: Client in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 260]
2011-03-05 19:29:23 Notice: Notice (8): Undefined index: Project in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/helpers/csv.php, line 87]
2011-03-05 19:32:40 Notice: Notice (8): Undefined index: client_id in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 245]
2011-03-05 19:41:54 Notice: Notice (8): Array to string conversion in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/helpers/csv.php, line 170]
2011-03-05 19:43:01 Notice: Notice (8): Array to string conversion in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/helpers/csv.php, line 170]
2011-03-05 19:44:11 Notice: Notice (8): Undefined index: developers in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 266]
2011-03-05 19:44:11 Notice: Notice (8): Undefined index: developers in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 268]
2011-03-05 20:09:02 Notice: Notice (8): Undefined index: fullname in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 274]
2011-03-05 20:09:02 Notice: Notice (8): Undefined index: fullname in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 290]
2011-03-05 20:09:02 Notice: Notice (8): Undefined variable: countDev in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 268]
2011-03-05 20:09:02 Notice: Notice (8): Undefined index: fullname in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 271]
2011-03-05 20:09:41 Notice: Notice (8): Undefined variable: countDev in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/controllers/projects_controller.php, line 268]
2011-03-06 11:03:50 Notice: Notice (8): Undefined variable: l in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/exportpdf.ctp, line 58]
2011-03-06 11:03:50 Notice: Notice (8): Undefined variable: projects in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/exportpdf.ctp, line 73]
2011-03-06 11:11:50 Notice: Notice (8): Constant PDF_FONT_NAME_MAIN already defined in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/exportpdf.ctp, line 4]
2011-03-06 11:11:50 Notice: Notice (8): Constant PDF_FONT_SIZE_DATA already defined in [/Users/robsa/Sites/Dropbox/htdocs/PMT/app/views/projects/exportpdf.ctp, line 5]
